Indicateur,ID,Indicateurs_Onglet,Indicateurs_Sous-onglet,Tags objectifs environnementaux,Ordre,Type de graphique,Sous-niveau (graphique),Description,Unité,Périmètre,Sources,Contact source/DG,Lien données source,Lien site source,Etat source,Fichier,2017,label_2017,2018,label_2018,2019,label_2019,2020,label_2020,2021,label_2021,2022,label_2022,2023,label_2023,2024,label_2024,2025,label_2025,2026,label_2026,2027,label_2027,2028,label_2028,2029,label_2029,2030,label_2030,Objectifs 2030,Dernière mise à jour,Responsable SGPE,Version tdb,Prêt à publier,Statut recette,A supprimer de la V1,Commentaire suppression,Commentaire,ID Indicateur hub Ecolab
Consommation carburants routiers,7316c2af-4c76-4629-9a95-cb7d4b69c008,Transports,Sobriété transports,"Atténuation, Ressources",9,Barres simple,,"La transition écologique du secteur des transports vise en premier lieu à réduire la consommation de carburants fossiles, source d'émissions de gaz à effet de serre, de pollution atmosphérique et de dépendance économique. L'indicateur représente la quantité de carburants routiers consommés, en million de tonnes équivalent-pétrole.

", Millions de tonnes équivalent-pétrole (Mtep),Hexagone et outre-mer,SDES,,,"https://www.statistiques.developpement-durable.gouv.fr/catalogue?page=datafile&datafileRid=e7879404-fad6-423f-b9cd-fab9c8771752
Anciennement : https://www.statistiques.developpement-durable.gouv.fr/edition-numerique/chiffres-cles-energie-2023/13-petrole",Fichier et lien,,"42,3",mesuré,"42,6",mesuré,"42,6",mesuré,36,mesuré,"40,7",mesuré,"41,5",mesuré,"40,4",mesuré,"38,85",projection,"37,3",cible,36,projection,"34,7",projection,"33,4",projection,"32,1",projection,"30,8",cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Nombre de trajets quotidiens effectués en covoiturage,fb0f0ebb-99d3-4621-b4b7-ef758ad8a0ae,Transports,Covoiturage,Atténuation,10,Barres simple,,"Au-delà de l'utilisation de véhicules moins polluants, de transports collectifs ou de la diminution des trajets parcourus, les émissions du transport individuel de passagers peuvent être divisées par la pratique du covoiturage - qu'il soit intermédié par une plateforme ou non. L'indicateur représente le nombre de trajets en covoiturage estimés - les trajets par plateforme sont connus grâce au registre de preuves de covoiturage, et les trajets informels sont obtenus par enquête annuelle et extrapolation, au niveau national. 

",Milliers de voyages par jour,Hexagone,"Source PPG, données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-046,,Lien seulement,,,,,,,,,,,,900,mesuré,1000,mesuré,1500,projection,2000,cible,3000,cible,,,,,,,,,Cible 2027 du plan national covoiturage du quotidien ,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Nombre d’infrastructures de covoiturage,014b2f1f-fac6-4402-b9a3-86d72ec2c751,Transports,Covoiturage,Atténuation,11,Barres simple,,"Le développement du covoiturage, qui permet de diviser les émissions du transport automobile en regroupant les passagers, peut être aidé par l'existence d'infrastructures adéquates. L'indicateur représente le nombre de telles infrastructures mises à disposition (dont les aires de covoiturages, les lignes dédiées, les pôles d'échange multimodaux...).

",Nombre (cumulé),Hexagone et Outre mer,"Source PPG, données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-046,,Lien seulement,,,,,,,,,,,,3454,mesuré,4252,projection,7535,projection,8938,projection,9782,cible,,,,,,,,,"PPG, pas d'objectif 2030",2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Déplacements de passagers en train,540ae890-f3b5-449b-814d-7dc3156ceaa7,Transports,Report modal voyageurs,Atténuation,13,Barres simple,,"Pour assurer réduire l'impact environnemental de la mobilité, et notamment ses émissions de gaz à effet de serre, le report modal depuis des modes de transport individuels et émissifs vers des transports collectifs ou de la mobilité douce est une évolution essentielle, aux multiples co-bénéfices par ailleurs. L'indicateur représente les distances parcourues par des voyageurs en train dans l'année. 

",Milliards de voyageurs-kilomètres,Hexagone,"SDES, Bilan annuel des transports 2022 pour les années 2017 à 2022",,https://www.statistiques.developpement-durable.gouv.fr/media/6814/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,100,mesuré,97,mesuré,"101,993644928",mesuré,"59,352133544",mesuré,79,mesuré,109,mesuré,"110,0242517393",projection,"113,1485034786",projection,"116,2727552179",cible,"118,5166154063",projection,"120,7604755948",projection,"123,0043357832",projection,"125,2481959716",projection,"127,49205616",cible,+25% vs 2019 (run 2 SNBC),2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Déplacements de passagers en transport collectif urbain,943a354e-c202-400a-b7b2-68baa0723be3,Transports,Report modal voyageurs,Atténuation,14,Barres simple,,"Pour assurer réduire l'impact environnemental de la mobilité, et notamment ses émissions de  gaz à effet de serre , le report modal depuis des modes de transport individuels et émissifs vers des transports collectifs ou de la mobilité douce est une évolution essentielle, aux multiples co-bénéfices par ailleurs. L'indicateur représente les distances parcourues par des voyageurs en transports collectifs urbains dans l'année.

",Milliards de voyageurs-kilomètres,Hexagone,"SDES, Bilan annuel des transports 2022 pour les années 2017 à 2022",,https://www.statistiques.developpement-durable.gouv.fr/media/6814/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,44,mesuré,44,mesuré,"45,1798220655",mesuré,26,mesuré,32,mesuré,40,mesuré,"44,2762256242",projection,"47,8906113894",projection,"51,5049971547",cible,"52,4989532401",projection,"53,4929093256",projection,"54,486865411",projection,"55,4808214964",projection,"56,4747775819",cible,+25% vs 2019 (run 2 SNBC),2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Déplacements de passagers en vélo,61c2f10a-da27-439e-8707-97f21203b33f,Transports,Report modal voyageurs,"Atténuation, Santé",15,Barres simple,,"L'utilisation du vélo comme solution de mobilité douce a de multiples bénéfices, que ce soit l'absence d'émissions de  gaz à effet de serre à son usage ou les bénéfices pour la santé de celui ou celle qui le conduit. L'indicateur représente une estimation des distances totales parcourues en vélo en France dans l'année. 
",Milliards de voyageurs-kilomètres,Hexagone,MTECT,,,,Lien seulement,,,,,,7,mesuré,9,projection,11,projection,13,projection,15,projection,17,projection,19,projection,21,projection,,,,,,,,,Cible 2026,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2020 doit apparaître en projection,
Part modale de l'aérien,4679f584-1591-4c38-aa50-9aa8e3424541,Transports,Report modal voyageurs,"Atténuation, Santé",16,Barres empilées,,"Pour assurer réduire l'impact environnemental de la mobilité, et notamment ses émissions de  gaz à effet de serre, le report modal depuis des modes de transport individuels et émissifs vers des transports collectifs ou de la mobilité douce est une évolution essentielle, aux multiples co-bénéfices par ailleurs. L'indicateur représente l'évolution des ""parts modales"" des principaux modes de transport de voyageurs (pour le transport intérieur), c'est-à-dire la manière dont se répartissent les kilomètres parcourus par ces voyageurs en fonction des modalités de transport.
",Pourcents,Hexagone ,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6814/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"1,504072283",mesuré,"1,5532606777",mesuré,"1,5653887611",mesuré,"0,9155341209",mesuré,"1,1505938102",mesuré,"1,3473004156",mesuré,"1,3782002771",projection,"1,4091001385",projection,"1,44",cible,"1,444",projection,"1,448",projection,"1,452",projection,"1,456",projection,"1,46",cible,Cible Run2 retraité hors vélo,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Part modale des véhicules particuliers (dont 2 roues motorisées),90d33061-d37f-4cbd-a06c-0bcf672b3ead,Transports,Report modal voyageurs,"Atténuation, Santé",16,Barres empilées,,,Pourcents,Hexagone ,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6814/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"81,9169633281",mesuré,"82,0897669087",mesuré,"81,691497086",mesuré,"86,0581641822",mesuré,"84,1844945341",mesuré,"82,0717059194",mesuré,"81,0111372796",projection,"79,9505686398",projection,"78,89",cible,"78,454",projection,"78,018",projection,"77,582",projection,"77,146",projection,"76,71",cible,Cible Run2 retraité hors vélo,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Part modale du transport ferroviaire,d35a02b9-1004-493e-8d98-0227f2f28cf1,Transports,Report modal voyageurs,"Atténuation, Santé",16,Barres empilées,,,Pourcents,Hexagone ,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6814/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"10,782327731",mesuré,"10,5513013882",mesuré,"10,8527064194",mesuré,"8,2190497621",mesuré,"9,8879568297",mesuré,"11,7886760418",mesuré,"12,1324506945",projection,"12,4762253473",projection,"12,82",cible,"13,102",projection,"13,384",projection,"13,666",projection,"13,948",projection,"14,23",cible,Cible Run2 retraité hors vélo,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Part modale des transports en commun routiers,4681ca8a-1bb8-4e31-bbc2-828d55cbfb51,Transports,Report modal voyageurs,"Atténuation, Santé",16,Barres empilées,,,Pourcents,Hexagone ,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6814/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"5,7966366579",mesuré,"5,8056710254",mesuré,"5,8904077335",mesuré,"4,8072519347",mesuré,"4,776954826",mesuré,"4,7923176232",mesuré,"5,4782117488",projection,"6,1641058744",projection,"6,85",cible,7,projection,"7,15",projection,"7,3",projection,"7,45",projection,"7,6",cible,Cible Run2 retraité hors vélo,2024-08-01 9:37am,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Kilomètres de pistes cyclables et voies vertes aménagées,ffe270fe-a78c-44f0-883c-544494a4b43d,Transports,Report modal voyageurs,"Atténuation, Santé",17,Barres simple,,"Le développement de la pratique du vélo, aux multiples bénéfices environnementaux comme sanitaires, passe par des infrastructures adaptées. L'indicateur représente la longueur totale des pistes cyclables et voies vertes aménagées (les chiffres indiqués sont ceux du mois de janvier de l'année N+1).
",Milliers de  kilomètres,Hexagone,Aménagements cyclables.fr / geovélo,,,https://amenagements-cyclables.fr/fr/stats,Lien seulement,,"40,2",mesuré,"43,1",mesuré,"45,1",mesuré,"50,5",mesuré,53,mesuré,"55,9",mesuré,"58,5",mesuré,"64,25",projection,70,cible,75,cible,95,projection,115,projection,135,projection,150,cible,Cible Plan vélo / PPG utilisant www.amenagements-cyclables.fr,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Vélos figurant dans le fichier national,0c07a94c-83e1-48c7-a2db-95bc56aa41ac,Transports,Report modal voyageurs,"Atténuation, Santé",18,Barres simple,,"L'utilisation du vélo comme solution de mobilité douce a de multiples bénéfices, que ce soit l'absence d'émissions de GES à son usage ou les bénéfices pour la santé de celui ou celle qui le conduit. L'indicateur représente le nombre de vélos enregistrés au fichier national.
",Millions,Hexagone et outre-mer,"Source PPG, données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-043,,Lien seulement,,"0,049",mesuré,,,,,,,,,"3,47",mesuré,"5,3",mesuré,"7,2",projection,"9,1",cible,11,cible,,,,,,,,,"PPG, pas de cible 2030",2024-08-09 12:38pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Vélos assemblés en France,ddae8994-f95a-4a00-bf2b-9b9f4294900f,Transports,Report modal voyageurs,Atténuation,19,Barres simple,,"Le développement de la filière française du vélo permet de conjuguer transition écologique, souveraineté économique et création d'emplois. L'indicateur représente le nombre de vélos assemblé en France dans l'année.
",Milliers,Hexagone et outre-mer,"Source PPG, données MTECT",,https://pilote.modernisation.gouv.fr/chantier/CH-043,,Lien seulement,,644,mesuré,,,,,,,799,mesuré,854,mesuré,645,mesuré,925,projection,1205,cible,1334,cible,,,,,,,,,pas de cible 2030,2024-08-09 12:38pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Part des voitures particulières électriques dans les immatriculations annuelles (véhicules neufs),ecbedd80-83cf-4add-8361-9cc0fd36c10c,Transports,Electrification Véhicules Particuliers,"Atténuation, Santé",20,Barres simple,,"L'électrification des voitures particulières est un des principaux leviers permettant d'atteindre les objectifs de réduction des émissions de  gaz à effet de serre  du secteur. L'indicateur représente la part des voitures particulières électriques dans les ventes de voitures particulières neuves de l'année.
",Pourcents,Hexagone et outre-mer,"DITP /
SDES",,https://www.statistiques.developpement-durable.gouv.fr/media/6815/download?inline,,Lien seulement,,"1,18",mesuré,"1,42",mesuré,"1,9",mesuré,"6,59",mesuré,"9,67",mesuré,"12,98",mesuré,17,mesuré,"21,5",projection,26,cible,32,cible,38,cible,"47,3333333333",projection,"56,6666666667",projection,66,cible,PPG+ Cible SNBC ,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Voitures particulières électriques et hydrogène achetées par type d'acquéreur,35e38153-abee-4eaf-a3b7-12b673136fa1,Transports,Electrification Véhicules Particuliers,"Atténuation, Santé",21,Barres empilées,Entreprises,"L'électrification des voitures est un des principaux leviers permettant d'atteindre les objectifs de réduction des émissions de  gaz à effet de serre  du secteur, et cela concerne notamment les flottes d'entreprises comme les particuliers. L'indicateur représente le nombre de voitures  électriques et hydrogène, en fonction du statut de l'acquéreur, dans les ventes de voitures particulières neuves de l'année.

",Nombre,Hexagone et outre-mer,Extractions RSVERO par le SDES,,,,Service fournisseur indiqué,,12469,mesuré,17665,mesuré,22694,mesuré,51034,mesuré,67107,mesuré,73074,mesuré,112007,mesuré,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Voitures particulières électriques et hydrogène achetées par type d'acquéreur,4ca2e228-da5e-4e12-a06a-0a7ca070fecc,Transports,Electrification Véhicules Particuliers,"Atténuation, Santé",21,Barres empilées,Particuliers,,,,Extractions RSVERO par le SDES,,,,Service fournisseur indiqué,,12928,mesuré,14045,mesuré,20913,mesuré,61577,mesuré,98429,mesuré,134290,mesuré,191888,mesuré,,,,,,,,,,,,,,,,2024-08-01 9:37am,,Existant,true,true,false,,,
Voitures particulières électriques en circulation dans le parc roulant,9f34aec3-582f-478e-a85b-515fdb989e58,Transports,Electrification Véhicules Particuliers,"Atténuation, Santé",22,Barres simple,,"L'électrification des voitures particulières est un des principaux leviers permettant d'atteindre les objectifs de réduction des émissions de gaz à effet de serre du secteur. L'indicateur représente le nombre total de véhicules particuliers électriques dans le parc au 1er janvier de l'année N+1  .
",Milliers,Hexagone et outre-mer,Parc de véhicules au 1er janvier - SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6845/download?inline,https://www.statistiques.developpement-durable.gouv.fr/donnees-sur-le-parc-automobile-francais-au-1er-janvier-2023,Lien seulement,,82,mesuré,106,mesuré,141,mesuré,245,mesuré,403,mesuré,596,mesuré,886,projection,1151,projection,1405,projection,2233,projection,3048,projection,3848,projection,4634,projection,5406,cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Part des voitures particulières électriques au sein du parc roulant,23f8812e-1493-4822-a84d-94f4a74e8ba6,Transports,Electrification Véhicules Particuliers,"Atténuation, Santé",23,Barres simple,,"L'électrification des véhicules particuliers est un des principaux leviers permettant d'atteindre les objectifs de réduction des émissions de gaz à effet de serre  du secteur. L'indicateur représente la part des véhicules particuliers électriques au sein du  parc roulant au 1er janvier de l'année N+1  .


 ",Pourcents,Hexagone et outre-mer,SDES/PPG,,https://www.statistiques.developpement-durable.gouv.fr/media/6845/download?inline,https://www.statistiques.developpement-durable.gouv.fr/donnees-sur-le-parc-automobile-francais-au-1er-janvier-2023,Lien seulement,,"0,2175066313",mesuré,"0,2782152231",mesuré,"0,3691099476",mesuré,"0,6380208333",mesuré,"1,0467532468",mesuré,"1,5360824742",mesuré,"2,3",projection,3,projection,"3,76",cible,"6,026",projection,"8,292",projection,"10,558",projection,"12,824",projection,"15,09",cible,calcul,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2023 doit apparaître en projection,
Points de recharge pour véhicules électriques ouverts au public,50961d87-31a8-4bee-be6a-7b3995f573a3,Transports,Electrification Véhicules Particuliers,Atténuation,24,Barres simple,,"Le développement des véhicules électriques passe par l'accès facile à des points de recharge sur tout le territoire. L'indicateur représente le nombre de points de recharge pour les véhicules électriques ouverts au public.
",Milliers,Hexagone et outre mer,AVERE / MTECTsur la base de données GIREVE (données à fin novembre pour 2023),,https://www.avere-france.org/wp-content/uploads/2024/07/20240707-Barometre-IRVE-Juin2024-Externe-combine.pdf,https://www.avere-france.org/publications/?publication-type%5B%5D=barometres-recharge,Lien seulement,,"19,309",mesuré,"26,254",mesuré,"30,203",mesuré,"34,686",mesuré,"53,667",mesuré,"82,107",mesuré,"118,009",mesuré,"158,2934285714",projection,"198,5778571429",projection,"238,8622857143",projection,"279,1467142857",projection,"319,4311428571",projection,"359,7155714286",projection,400,cible,objectif 2030,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Total des points de recharge pour véhicules électriques,2fb4ddae-a057-46dd-b44e-8434c58f1f36,Transports,Electrification Véhicules Particuliers,Atténuation,25,Barres simple,,"Le développement des véhicules électriques passe par l'accès facile à des points de recharge sur tout le territoire. L'indicateur représente le nombre de points de recharge pour les véhicules électriques, incluant ceux à domicile, ceux localisés dans les sociétés et ceux ouverts au public.

",Milliers,Hexagone et outre-mer,ENEDIS  (données 2023 à fin septembre),,https://data.enedis.fr/api/explore/v2.1/catalog/datasets/nombre-total-de-points-de-charge/exports/xlsx?lang=fr&timezone=Europe%2FBerlin&use_labels=true,https://data.enedis.fr/explore/dataset/nombre-total-de-points-de-charge/table/?sort=-trimestre,Lien seulement,,"179,076",mesuré,"239,361",mesuré,"311,814",mesuré,"540,993",mesuré,"888,772",mesuré,"1265,149",mesuré,"1834,023",mesuré,1900,cible,2400,cible,3000,cible,,,,,,,,,"PPG, pas de cible 2030",2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions moyennes de CO2 / km des voitures particulières thermiques neuves vendues ,768d67bf-9bec-43ed-8877-36d025fd0873,Transports,Efficacité véhicules,"Atténuation, Santé",26,Barres simple,,"L'amélioration de l'efficacité des moteurs de véhicules et de leur sobriété (poids) permet de réduire les émissions émises, à distance parcourue égale. L'indicateur représente les émissions moyennes de GES par kilomètre pour les véhicules thermiques neufs vendus dans l'année (essence, gazole, GPL, non compris hybride non rechargeable).

",CO2  par kilomètre,Hexagone et outre-mer,Extractions RSVERO par le SDES,,,,Service fournisseur indiqué,,,,,,,,"129,5",mesuré,"130,1",mesuré,"129,7",mesuré,"129,8",mesuré,"128,1422207539",projection,"126,4844415079",cible,"124,5007577137",projection,"122,5170739195",projection,"120,5333901254",projection,"118,5497063312",projection,"116,566022537",cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Voitures particulières neuves vendues dont le poids à vide est supérieur à 1800kg (Véhicules Hybrides Rechargeables et Véhicules Electriques),3732bbf0-9c2c-40c1-8554-b1ee12ce4a58,Transports,Efficacité véhicules,"Atténuation, Ressources",27,Barres simple,,"Parce que la fabrication des voitures particulières électriques et de leurs batteries consomme d'autant plus de ressources naturelles et génère d'autant plus d'émissions de  gaz à effet de serre  que ces véhicules sont lourds, il est important d'aller vers des véhicules les plus légers possibles. L'indicateur représente le nombre de voitures particulières électriques ou hydrides rechargeables neuves vendues dont le poids est au-dessus du seuil 2024 du ""malus poids"" pour les VHR, soit 1800 kilos. 

",Milliers,Hexagone et outre-mer,Extractions RSVERO par le SDES,,,,Service fournisseur indiqué,,"6,679",mesuré,"8,793",mesuré,"19,598",mesuré,41,mesuré,81,mesuré,99,mesuré,168,mesuré,,,,,,,,,,,,,,,pas de cible 2030,2024-08-02 3:19pm,,Existant,true,true,false,,,
Voitures particulières neuves vendues dont le poids à vide est supérieur à 1600kg (Véhicules Thermiques et Véhicules Hybrides Non Rechargeables),ce18951c-8b2a-4b49-a8c2-5817c928789a,Transports,Efficacité véhicules,"Atténuation, Ressources",28,Barres simple,,"Le poids d'une voiture particulière est un facteur important de ses émissions de  gaz à effet de serre  à l'usage comme à la fabrication, et l'allègement des véhicules représente un levier important pour réduire les émissions de la mobilité. L'indicateur représente le nombre de voitures particulières thermiques (ou hydrides non rechargeables) neuves vendues dont le poids est au-dessus du seuil 2024 du ""malus poids"", soit 1600 kilos.
",Milliers,Hexagone et outre-mer,Extractions RSVERO par le SDES,,,,Service fournisseur indiqué,,"168,708",mesuré,"152,126",mesuré,"162,606",mesuré,"88,23",mesuré,"72,731",mesuré,"68,545",mesuré,92,mesuré,,,,,,,,,,,,,,,pas de cible 2030,2024-08-02 3:19pm,,Existant,true,true,false,,,
Poids moyen des voitures particulières neuves,9d40bfde-ac58-40a6-9446-1f209de1ca9c,Transports,Efficacité véhicules,Atténuation,29,Courbes indépendantes,électriques et hydrogènes,"Le poids d'un véhicule est un facteur important de ses émissions de  gaz à effet de serre  à l'usage comme à la fabrication, et l'allègement des véhicules représente un levier important pour réduire les émissions de la mobilité. L'indicateur représente le poids moyen des voitures particulières neuves (par type de motorisation) vendues dans l'année.

",Kilogrammes,Hexagone et outre-mer,Extractions RSVERO par le SDES,,,,Service fournisseur indiqué,,"1461,3770304818",mesuré,"1467,1059483655",mesuré,"1551,1942833566",mesuré,"1518,855017301",mesuré,"1529,1423137532",mesuré,"1548,2616027854",mesuré,1606,mesuré,"1577,9695714286",projection,"1549,9391428571",projection,"1521,9087142857",projection,"1493,8782857143",projection,"1465,8478571429",projection,"1437,8174285714",projection,"1409,787",cible,"Cible Run2 -3,9%",2024-08-01 3:03pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Poids moyen des voitures particulières neuves,c66488f5-9f73-4fec-89e4-762767074f62,Transports,Efficacité véhicules,Atténuation,29,Courbes indépendantes,hybrides non rechargeables,,,,Extractions RSVERO par le SDES,,,,Service fournisseur indiqué,,"1334,5417163039",mesuré,"1342,705927011",mesuré,"1411,2854778992",mesuré,"1333,4967083057",mesuré,"1328,2095500459",mesuré,"1341,2245578357",mesuré,1368,mesuré,"1356,9461428571",projection,"1345,8922857143",projection,"1334,8384285714",projection,"1323,7845714286",projection,"1312,7307142857",projection,"1301,6768571429",projection,"1290,623",cible,"Cible Run2 -3,9%",2024-08-01 3:03pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Poids moyen des voitures particulières neuves,07ca9fa6-5555-414f-8611-aeda902bfdb5,Transports,Efficacité véhicules,Atténuation,29,Courbes indépendantes,hybrides rechargeables,,,,Extractions RSVERO par le SDES,,,,Service fournisseur indiqué,,"1802,3406402515",mesuré,"1858,6886057073",mesuré,"1961,5295119485",mesuré,"1845,5181227572",mesuré,"1844,495334249",mesuré,"1841,409664459",mesuré,1876,mesuré,"1863,2141428571",projection,"1850,4282857143",projection,"1837,6424285714",projection,"1824,8565714286",projection,"1812,0707142857",projection,"1799,2848571429",projection,"1786,499",cible,"Cible Run2 -3,9%",2024-08-01 3:03pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Poids moyen des voitures particulières neuves,6b0bfb7f-841f-4328-9672-25975898e888,Transports,Efficacité véhicules,Atténuation,29,Courbes indépendantes,thermiques,,,,Extractions RSVERO par le SDES,,,,Service fournisseur indiqué,,"1246,3185627585",mesuré,"1232,9164346915",mesuré,"1242,1538596105",mesuré,"1230,1639954463",mesuré,"1222,8294701491",mesuré,"1228,3953050861",mesuré,1220,mesuré,"1214,9875714286",projection,"1209,9751428571",projection,"1204,9627142857",projection,"1199,9502857143",projection,"1194,9378571429",projection,"1189,9254285714",projection,"1184,913",cible,"Cible Run2 -3,9%",2024-08-01 3:03pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Parc annuel des voitures particulières (données au 1er janvier de l'année N+1),4573dcea-15b4-44df-86d9-43207c8bb19f,Transports,Autre,Atténuation,30,Barres simple,,"L'indicateur représente l'ensemble du parc au 1er janvier de l'année N+1 de voitures particulières en France, pour comparaison. 

",Millions,Hexagone et outre-mer,"Bilan de la circulation 2021 du SDES, onglet G2.a.",,https://www.statistiques.developpement-durable.gouv.fr/media/6845/download?inline,https://www.statistiques.developpement-durable.gouv.fr/donnees-sur-le-parc-automobile-francais-au-1er-janvier-2023,Lien seulement,,"37,7",mesuré,"38,1",mesuré,"38,2",mesuré,"38,4",mesuré,"38,5",mesuré,"38,8",mesuré,"38,9",mesuré,"38,135378863",projection,"37,370757726",cible,"37,0619850438",projection,"36,7532123616",projection,"36,4444396794",projection,"36,1356669972",projection,"35,826894315",cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Part de marché des autobus  électriques dans les immatriculations annuelles neuves,258a170e-7f65-4944-8ee8-1dcdee64ef24,Transports,Bus et cars,"Atténuation, Santé",31,Barres simple,,"Si l'utilisation de transports collectifs réduit en soi les émissions liées à la mobilité, la décarbonation des véhicules de transports passagers (bus et cars) permet néanmoins d'aller plus loin. L'indicateur représente la part des véhicules électriques dans les immatriculations annuelles neuves d'autobus.

",Pourcents,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6815/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"4,8",mesuré,4,mesuré,"13,1",mesuré,"9,1",mesuré,"27,4",mesuré,"37,9",mesuré,"35,7",mesuré,"39,85",projection,44,cible,"52,8",projection,"61,6",projection,"70,4",projection,"79,2",projection,88,cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Part de marché des autocars électriques dans les immatriculations annuelles neuves,da6351c4-bdc5-4d36-8cc8-7f73613a0ce5,Transports,Bus et cars,"Atténuation, Santé",32,Barres simple,,"Si l'utilisation de transports collectifs réduit en soi les émissions liées à la mobilité, la décarbonation des véhicules de transports passagers (bus et cars) permet néanmoins d'aller plus loin. L'indicateur représente la part des véhicules électriques dans les ventes annuelles d'autocars.

",Pourcents,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6815/download?inline,https://www.statistiques.developpement-durable.gouv.fr/bilan-annuel-des-transports-en-2022,Lien seulement,,"0,4",mesuré,"0,5",mesuré,"0,3",mesuré,"0,1",mesuré,"0,2",mesuré,"1,5",mesuré,"0,6",mesuré,"4,8",projection,9,cible,"13,2",projection,"17,4",projection,"21,6",projection,"25,8",projection,30,cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Part des autobus et autocars électriques dans le parc roulant,22031b61-658d-408a-81b3-8634ea529a54,Transports,Bus et cars,"Atténuation, Santé",33,Barres simple,,"Si l'utilisation de transports collectifs réduit en soi les émissions liées à la mobilité, la décarbonation des véhicules de transports passagers (bus et cars) permet néanmoins d'aller plus loin. L'indicateur représente la part des véhicules électriques dans le parc roulant d'autobus et autocars.

",Pourcents,Hexagone et outre-mer,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/6833/download?inline,https://www.statistiques.developpement-durable.gouv.fr/donnees-sur-le-parc-automobile-francais-au-1er-janvier-2023,Lien seulement,,"0,4",mesuré,"0,5",mesuré,"0,5",mesuré,"0,8",mesuré,"0,9",mesuré,"1,6",mesuré,"2,2",mesuré,"4,1",projection,6,cible,"7,8",projection,"9,6",projection,"11,4",projection,"13,2",projection,15,cible,Cibles fichier Run2,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
